# E-14 one-shot source ownership map; file\tSpec ID\tevidence
ai/flow-eval/__tests__/acceptance-corpora.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/brownfield-golden.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/brownfield-spec-golden.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/default-model-family.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/evidence-events.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/exit-code-aggregate.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/fixture-coverage.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/fixture-detmig.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/gap-e1-fail-fast.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/golang-execute-roundtrip.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; legacy @tasks E-12; Git history non-authoritative
ai/flow-eval/__tests__/golang-slugify-golden.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/harness.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/infra-golden.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/judge-verdict-diagnostic.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/judge.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/mig-cloud-ios.trajectory.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/migration-grade.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/migration-ladder.trajectory.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/provision-gennady.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/quality-gate.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/results-archive.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
ai/flow-eval/__tests__/routing-lock-v1-go.test.ts	AI-SKILLS	manual responsibility: AI workflow/eval/inspector support; headerless inventory row; Git history non-authoritative
